Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
05/03/2020,Northern Ireland,Pillar 2,0,0
05/03/2020,Scotland,Pillar 2,0,0
05/03/2020,Wales,Pillar 2,Not available,Not available
06/03/2020,England,Pillar 1,73,326
06/03/2020,Northern Ireland,Pillar 1,0,0
06/03/2020,Scotland,Pillar 1,6,21
06/03/2020,Wales,Pillar 1,Not available,Not available
06/03/2020,England,Pillar 2,0,0
06/03/2020,Northern Ireland,Pillar 2,0,0
06/03/2020,Scotland,Pillar 2,0,0
06/03/2020,Wales,Pillar 2,Not available,Not available
07/03/2020,England,Pillar 1,47,373
07/03/2020,Northern Ireland,Pillar 1,0,0
07/03/2020,Scotland,Pillar 1,6,27
07/03/2020,Wales,Pillar 1,Not available,Not available
07/03/2020,England,Pillar 2,0,0
07/03/2020,Northern Ireland,Pillar 2,0,0
07/03/2020,Scotland,Pillar 2,0,0
07/03/2020,Wales,Pillar 2,Not available,Not available
08/03/2020,England,Pillar 1,50,423
08/03/2020,Northern Ireland,Pillar 1,0,0
08/03/2020,Scotland,Pillar 1,3,30
08/03/2020,Wales,Pillar 1,Not available,Not available
08/03/2020,England,Pillar 2,0,0
08/03/2020,Northern Ireland,Pillar 2,0,0
08/03/2020,Scotland,Pillar 2,0,0
08/03/2020,Wales,Pillar 2,Not available,Not available
09/03/2020,England,Pillar 1,125,548
09/03/2020,Northern Ireland,Pillar 1,1,1
09/03/2020,Scotland,Pillar 1,18,48
09/03/2020,Wales,Pillar 1,Not available,Not available
09/03/2020,England,Pillar 2,0,0
09/03/2020,Northern Ireland,Pillar 2,0,0
09/03/2020,Scotland,Pillar 2,0,0
09/03/2020,Wales,Pillar 2,Not available,Not available
10/03/2020,England,Pillar 1,223,771
10/03/2020,Northern Ireland,Pillar 1,4,5
10/03/2020,Scotland,Pillar 1,19,67
10/03/2020,Wales,Pillar 1,Not available,Not available
10/03/2020,England,Pillar 2,0,0
10/03/2020,Northern Ireland,Pillar 2,0,0
10/03/2020,Scotland,Pillar 2,0,0
10/03/2020,Wales,Pillar 2,Not available,Not available
11/03/2020,England,Pillar 1,353,1124
11/03/2020,Northern Ireland,Pillar 1,11,16
11/03/2020,Scotland,Pillar 1,27,94
11/03/2020,Wales,Pillar 1,Not available,Not available
11/03/2020,England,Pillar 2,0,0
11/03/2020,Northern Ireland,Pillar 2,0,0
11/03/2020,Scotland,Pillar 2,0,0
11/03/2020,Wales,Pillar 2,Not available,Not available
12/03/2020,England,Pillar 1,415,1539
12/03/2020,Northern Ireland,Pillar 1,4,20
12/03/2020,Scotland,Pillar 1,40,134
12/03/2020,Wales,Pillar 1,Not available,Not available
12/03/2020,England,Pillar 2,0,0
12/03/2020,Northern Ireland,Pillar 2,0,0
12/03/2020,Scotland,Pillar 2,0,0
12/03/2020,Wales,Pillar 2,Not available,Not available
13/03/2020,England,Pillar 1,392,1931
13/03/2020,Northern Ireland,Pillar 1,11,31
13/03/2020,Scotland,Pillar 1,47,181
13/03/2020,Wales,Pillar 1,Not available,Not available
13/03/2020,England,Pillar 2,0,0
13/03/2020,Northern Ireland,Pillar 2,0,0
13/03/2020,Scotland,Pillar 2,0,0
13/03/2020,Wales,Pillar 2,Not available,Not available
14/03/2020,England,Pillar 1,314,2245
14/03/2020,Northern Ireland,Pillar 1,10,41
14/03/2020,Scotland,Pillar 1,18,199
14/03/2020,Wales,Pillar 1,Not available,Not available
14/03/2020,England,Pillar 2,0,0
14/03/2020,Northern Ireland,Pillar 2,0,0
14/03/2020,Scotland,Pillar 2,0,0
14/03/2020,Wales,Pillar 2,Not available,Not available
15/03/2020,England,Pillar 1,397,2642
15/03/2020,Northern Ireland,Pillar 1,2,43
15/03/2020,Scotland,Pillar 1,11,210
15/03/2020,Wales,Pillar 1,Not available,Not available
15/03/2020,England,Pillar 2,0,0
15/03/2020,Northern Ireland,Pillar 2,0,0
15/03/2020,Scotland,Pillar 2,0,0
15/03/2020,Wales,Pillar 2,Not available,Not available
16/03/2020,England,Pillar 1,546,3188
16/03/2020,Northern Ireland,Pillar 1,8,51
16/03/2020,Scotland,Pillar 1,21,231
16/03/2020,Wales,Pillar 1,Not available,Not available
16/03/2020,England,Pillar 2,0,0
16/03/2020,Northern Ireland,Pillar 2,0,0
16/03/2020,Scotland,Pillar 2,0,0
16/03/2020,Wales,Pillar 2,Not available,Not available
17/03/2020,England,Pillar 1,679,3867
17/03/2020,Northern Ireland,Pillar 1,9,60
17/03/2020,Scotland,Pillar 1,43,274
17/03/2020,Wales,Pillar 1,Not available,Not available
17/03/2020,England,Pillar 2,0,0
17/03/2020,Northern Ireland,Pillar 2,0,0
17/03/2020,Scotland,Pillar 2,0,0
17/03/2020,Wales,Pillar 2,Not available,Not available
18/03/2020,England,Pillar 1,909,4776
18/03/2020,Northern Ireland,Pillar 1,13,73
18/03/2020,Scotland,Pillar 1,41,315
18/03/2020,Wales,Pillar 1,Not available,Not available
18/03/2020,England,Pillar 2,0,0
18/03/2020,Northern Ireland,Pillar 2,0,0
18/03/2020,Scotland,Pillar 2,0,0
18/03/2020,Wales,Pillar 2,Not available,Not available
19/03/2020,England,Pillar 1,931,5707
19/03/2020,Northern Ireland,Pillar 1,14,87
19/03/2020,Scotland,Pillar 1,50,365
19/03/2020,Wales,Pillar 1,Not available,Not available
19/03/2020,England,Pillar 2,0,0
19/03/2020,Northern Ireland,Pillar 2,0,0
19/03/2020,Scotland,Pillar 2,0,0
19/03/2020,Wales,Pillar 2,Not available,Not available
20/03/2020,England,Pillar 1,1080,6787
20/03/2020,Northern Ireland,Pillar 1,17,104
20/03/2020,Scotland,Pillar 1,82,447
20/03/2020,Wales,Pillar 1,Not available,Not available
20/03/2020,England,Pillar 2,0,0
20/03/2020,Northern Ireland,Pillar 2,0,0
20/03/2020,Scotland,Pillar 2,0,0
20/03/2020,Wales,Pillar 2,Not available,Not available
21/03/2020,England,Pillar 1,1036,7823
21/03/2020,Northern Ireland,Pillar 1,22,126
21/03/2020,Scotland,Pillar 1,66,513
21/03/2020,Wales,Pillar 1,Not available,Not available
21/03/2020,England,Pillar 2,0,0
21/03/2020,Northern Ireland,Pillar 2,0,0
21/03/2020,Scotland,Pillar 2,0,0
21/03/2020,Wales,Pillar 2,Not available,Not available
22/03/2020,England,Pillar 1,1209,9032
22/03/2020,Northern Ireland,Pillar 1,18,144
22/03/2020,Scotland,Pillar 1,75,588
22/03/2020,Wales,Pillar 1,Not available,Not available
22/03/2020,England,Pillar 2,0,0
